data_registro,cidade,codigo_linha,nome_linha,trecho,tipo_trecho,periodo,condicao_transito,clima,tempo_programado_min,tempo_real_min,minutos_atraso,observacao
2026-08-22,Maringá,031,Conjunto Requião,Maringá - Sarandi,Intermunicipal,Entre picos,Muito intenso,Sem chuva,43,54,11,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-23,Maringá,034,Jardim São Silvestre,Zona Norte - Terminal,Urbano,Pico da tarde,Intenso,Sem chuva,29,38,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-24,Sarandi,001,Parque Alvamar / Conjunto Floresta,Centro - Jardim Panorama,Urbano,Noite,Moderado,Chuva,47,53,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-25,Maringá,051,Parque das Grevíleas,Av. Tuiuti - Centro,Urbano,Pico da manhã,Leve,Sem chuva,44,46,2,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-26,Maringá,324,UEM / Unicesumar,Zona Norte - Terminal,Urbano,Entre picos,Muito intenso,Sem chuva,32,43,11,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-27,Sarandi,254E,Jardim Esperança,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,50,60,10,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-28,Maringá,010,Universidade,Av. Tuiuti - Centro,Urbano,Noite,Moderado,Chuva,33,38,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-29,Maringá,021,Av. Tuiuti,Zona Norte - Terminal,Urbano,Pico da manhã,Leve,Sem chuva,41,46,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-30,Sarandi,254L,Jardim Leblon,Centro - Jardim Panorama,Urbano,Entre picos,Muito intenso,Sem chuva,28,36,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-31,Maringá,024,Parque Itaipu,Av. Tuiuti - Centro,Urbano,Pico da tarde,Intenso,Sem chuva,50,59,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-01,Maringá,031,Conjunto Requião,Maringá - Sarandi,Intermunicipal,Noite,Moderado,Chuva,49,57,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-02,Sarandi,254C,Jardim Cometa,Maringá - Sarandi,Intermunicipal,Pico da manhã,Leve,Sem chuva,48,54,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-03,Maringá,041,Jardim Alvorada II,Av. Tuiuti - Centro,Urbano,Entre picos,Muito intenso,Sem chuva,40,51,11,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-04,Maringá,051,Parque das Grevíleas,Zona Norte - Terminal,Urbano,Pico da tarde,Intenso,Sem chuva,36,48,12,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-05,Sarandi,254J,Conjunto José Richa,Centro - Jardim Panorama,Urbano,Noite,Moderado,Chuva,31,37,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-06,Maringá,007,Interbairros Zona Norte,Maringá - Sarandi,Intermunicipal,Pico da manhã,Leve,Sem chuva,45,51,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-07,Maringá,010,Universidade,Zona Norte - Terminal,Urbano,Entre picos,Muito intenso,Sem chuva,38,49,11,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-08,Sarandi,254A,Alvamar,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,27,37,10,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-09,Maringá,023,Jardim Olímpico,Av. Tuiuti - Centro,Urbano,Noite,Moderado,Chuva,39,44,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-10,Maringá,024,Parque Itaipu,Zona Norte - Terminal,Urbano,Pico da manhã,Leve,Sem chuva,41,43,2,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-11,Sarandi,254I,Jardim Independência,Centro - Jardim Panorama,Urbano,Entre picos,Muito intenso,Sem chuva,53,61,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-12,Maringá,034,Jardim São Silvestre,Av. Tuiuti - Centro,Urbano,Pico da tarde,Intenso,Sem chuva,52,62,10,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-13,Maringá,041,Jardim Alvorada II,Zona Norte - Terminal,Urbano,Noite,Moderado,Chuva,37,44,7,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-14,Sarandi,001,Parque Alvamar / Conjunto Floresta,Maringá - Sarandi,Intermunicipal,Pico da manhã,Leve,Sem chuva,34,36,2,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-15,Maringá,324,UEM / Unicesumar,Av. Tuiuti - Centro,Urbano,Entre picos,Muito intenso,Sem chuva,45,55,10,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-16,Maringá,007,Interbairros Zona Norte,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,33,45,12,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-17,Sarandi,254E,Jardim Esperança,Centro - Jardim Panorama,Urbano,Noite,Moderado,Chuva,27,33,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-18,Maringá,021,Av. Tuiuti,Av. Tuiuti - Centro,Urbano,Pico da manhã,Leve,Sem chuva,29,35,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-19,Maringá,023,Jardim Olímpico,Zona Norte - Terminal,Urbano,Entre picos,Muito intenso,Sem chuva,43,50,7,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-20,Sarandi,254L,Jardim Leblon,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,32,43,11,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-21,Maringá,031,Conjunto Requião,Maringá - Sarandi,Intermunicipal,Noite,Moderado,Chuva,37,45,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-22,Maringá,034,Jardim São Silvestre,Zona Norte - Terminal,Urbano,Pico da manhã,Leve,Sem chuva,48,54,6,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-23,Sarandi,254C,Jardim Cometa,Centro - Jardim Panorama,Urbano,Entre picos,Muito intenso,Sem chuva,49,58,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-24,Maringá,051,Parque das Grevíleas,Av. Tuiuti - Centro,Urbano,Pico da tarde,Intenso,Sem chuva,35,44,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-25,Maringá,324,UEM / Unicesumar,Zona Norte - Terminal,Urbano,Noite,Moderado,Chuva,26,35,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
